question,option1,option2,option3,option4,answer
What is the meaning of a stop sign? (Set 7),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 7),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 8),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 8),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 8),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 8),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 8),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 9),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 9),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 9),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 9),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 9),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 10),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 10),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 10),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 10),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 10),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 11),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 11),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 11),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 11),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 11),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 12),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 12),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 12),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 12),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 12),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 13),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 13),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 13),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 13),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 13),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 14),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 14),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 14),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 14),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 14),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 15),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 15),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 15),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 15),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 15),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 16),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 16),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 16),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 16),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 16),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 17),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 17),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 17),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 17),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 17),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 18),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 18),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 18),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 18),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 18),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 19),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 19),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 19),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 19),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 19),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 20),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 20),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 20),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 20),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 20),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
